trial,alpha,V,delta_V,lambda,theta,dataset_id,alpha1,alpha2,V1,V2,delta_V1,delta_V2,alpha1_init,alpha2_init,phase
37,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999872406355,0.3009235809444668,8.50624295445357e-09,0.0028075358195001334,,,Phase2
38,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999923443813,0.30371988662068894,5.103745781553926e-09,0.0027963056762221328,,,Phase2
39,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999954066288,0.3065050070742062,3.06224747781414e-09,0.0027851204535172445,,,Phase2
40,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999972439773,0.3092789870459094,1.837348495570268e-09,0.0027739799717031756,,,Phase2
1,,,,1.0,0.5,Blocking_5,0.625,0.5,0.25,0.0,0.25,0.0,,,Phase1
2,,,,1.0,0.5,Blocking_5,0.8671875,0.5,0.484375,0.0,0.234375,0.0,,,Phase1
3,,,,1.0,0.5,Blocking_5,1.0,0.5,0.70794677734375,0.0,0.22357177734375,0.0,,,Phase1
4,,,,1.0,0.5,Blocking_5,1.0,0.5,0.853973388671875,0.0,0.146026611328125,0.0,,,Phase1
5,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9269866943359375,0.0,0.0730133056640625,0.0,,,Phase1
6,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9634933471679688,0.0,0.03650665283203125,0.0,,,Phase1
7,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9817466735839844,0.0,0.018253326416015625,0.0,,,Phase1
8,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9908733367919922,0.0,0.009126663208007812,0.0,,,Phase1
9,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9954366683959961,0.0,0.004563331604003906,0.0,,,Phase1
10,,,,1.0,0.5,Blocking_5,1.0,0.5,0.997718334197998,0.0,0.002281665802001953,0.0,,,Phase1
11,,,,1.0,0.5,Blocking_5,1.0,0.5,0.998859167098999,0.0,0.0011408329010009766,0.0,,,Phase1
12,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9994295835494995,0.0,0.0005704164505004883,0.0,,,Phase1
13,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9997147917747498,0.0,0.00028520822525024414,0.0,,,Phase1
14,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9998573958873749,0.0,0.00014260411262512207,0.0,,,Phase1
15,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999286979436874,0.0,7.130205631256104e-05,0.0,,,Phase1
16,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999643489718437,0.0,3.565102815628052e-05,0.0,,,Phase1
17,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999821744859219,0.0,1.782551407814026e-05,0.0,,,Phase1
18,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999910872429609,0.0,8.91275703907013e-06,0.0,,,Phase1
19,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999955436214805,0.0,4.456378519535065e-06,0.0,,,Phase1
20,,,,1.0,0.5,Blocking_5,1.0,0.5,0.9999977718107402,0.0,2.2281892597675323e-06,0.0,,,Phase1
21,,,,1.0,0.5,Blocking_5,1.0,0.12500055704731494,0.9999988859053701,0.25,1.1140946298837662e-06,0.25,,,Phase2
22,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999994429526851,0.2968752088927431,5.570473149418831e-07,0.0468752088927431,,,Phase2
23,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999997214763425,0.3003908328482794,2.7852365747094154e-07,0.0035156239555362845,,,Phase2
24,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999998607381713,0.30388887868403797,1.3926182873547077e-07,0.003498045835758603,,,Phase2
25,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999303690856,0.3073694342906178,6.963091436773539e-08,0.0034805556065798104,,,Phase2
26,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999651845428,0.3108325871191647,3.481545718386769e-08,0.003463152828546911,,,Phase2
27,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999825922714,0.3142784241835689,1.7407728591933846e-08,0.0034458370644041766,,,Phase2
28,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999912961357,0.31770703206265105,8.703864295966923e-09,0.0034286078790821558,,,Phase2
29,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999956480679,0.3211184969023378,4.351932147983462e-09,0.003411464839686745,,,Phase2
30,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999978240339,0.3245129044178261,2.175966073991731e-09,0.0033944075154883112,,,Phase2
31,,,,1.0,0.5,Blocking_5,1.0,0.01,0.999999998912017,0.32789033989573696,1.0879830369958654e-09,0.0033774354779108695,,,Phase2
32,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999994560085,0.33125088819625825,5.439915184979327e-10,0.0033605483005213154,,,Phase2
33,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999997280042,0.334594633755277,2.7199575924896635e-10,0.003343745559018709,,,Phase2
34,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999998640021,0.3379216605865006,1.3599787962448318e-10,0.003327026831223615,,,Phase2
35,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999999320011,0.34123205228356807,6.799893981224159e-11,0.0033103916970674972,,,Phase2
36,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999999660005,0.3445258920221502,3.3999469906120794e-11,0.0032938397385821596,,,Phase2
37,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999999830003,0.3478032625620395,1.6999734953060397e-11,0.003277370539889249,,,Phase2
38,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999999915001,0.3510642462492293,8.499867476530198e-12,0.0032609836871898023,,,Phase2
39,,,,1.0,0.5,Blocking_5,1.0,0.01,0.9999999999957501,0.3543089250179831,4.249933738265099e-12,0.0032446787687538535,,,Phase2
40,,,,1.0,0.5,Blocking_5,1.0,0.01,0.999999999997875,0.3575373803928932,2.1249668691325496e-12,0.003228455374910084,,,Phase2
